platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_url,seller_url
B0CN16Y9S5,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, Grey/Black, Black Shadow",USD,10.99,Amazon.com,BlenderBottle,BlenderBottle,C06513,,,12,3.8,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B0CN16Y9S5/,https://m.media-amazon.com/images/I/71U-9O-aigL.jpg,https://www.amazon.com
B09LHWFSZQ,AMAZON-US,"Promixx PURSUIT Protein Shaker Bottle – Premium Sports Blender Bottles for Protein Mixes and Supplement Shakes – Easy Clean, Durable Protein Shaker Cup",USD,9.32,Amazon.com,Promixx,Promixx,US-PRO-P-S1-700SHAKER-GG,,,"11,081",4.6,https://www.amazon.com/PROMiXX-Shaker-Bottle-Supplement-Graphite/dp/B09LHWFSZQ/,https://m.media-amazon.com/images/I/513DNBgQKhL.jpg,https://www.amazon.com
B078KCYLZF,AMAZON-US,HELIMIX 2.0 Vortex Blender Shaker Bottle Holds upto 28oz | No Blending Ball or Whisk | USA Made | Pre Workout Protein Drink Cocktail Shaker Cup | Weight Loss Supplements Shakes | Top Rack Safe,USD,22.95,HELIMIX,Helimix,HELIMIX,10SMK-BLK,,,"29,024",4.6,https://www.amazon.com/Blending-Portable-Cocktails-Smoothies-Dishwasher/dp/B078KCYLZF/,https://m.media-amazon.com/images/I/61+JCuI0bfL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1HCNW6DXF6KPL&asin=B078KCYLZF&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CKLQM41B,AMAZON-US,"Mr. Pen- Shaker Bottles for Protein Mixes, 28 oz, Shaker Bottle with Wire Whisk Ball, Protein Shaker Bottle, Shaker Cup, Protein Shaker, Protein Shake Bottle, Bottle Shaker, Shake Bottle",USD,6.85,Mr. Pen,Mr. Pen,Mr. Pen,SHKR01M138N,,SHKR01M138N,156,4.5,https://www.amazon.com/Mr-Shaker-Bottles-Protein-Bottle/dp/B0CKLQM41B/,https://m.media-amazon.com/images/I/71OeCB4Y27L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1DHK9MBP3H19C&asin=B0CKLQM41B&ref_=dp_merchant_link&isAmazonFulfilled=1
B07TL6PNLH,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 20-Ounce, Clear/Black",USD,9.99,Amazon.com,BlenderBottle,BlenderBottle,C03595,,C03595,"40,863",4.7,https://www.amazon.com/BlenderBottle-C03595-Classic-Bottle-20-Ounce/dp/B07TL6PNLH/,https://m.media-amazon.com/images/I/51vZYVAvARL.jpg,https://www.amazon.com
B0BFF5MN6T,AMAZON-US,"VOLTRX Electric Protein Shaker Bottle - USB Rechargeable Mixer Cup for Shakes and Meal Replacements, BPA-Free Tritan, 24oz",USD,19.99,VOLTRX-DIRECT,,VOLTRX,vt004,,,"6,029",4.3,https://www.amazon.com/VOLTRX-Gallium-Rechargeable-Electric-Replacement/dp/B0BFF5MN6T/,https://m.media-amazon.com/images/I/61xY5x1JAkL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ILHUOAN53W85&asin=B0BFF5MN6T&ref_=dp_merchant_link&isAmazonFulfilled=1
B07THMHX7X,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, White",USD,11.48,Amazon.com,BlenderBottle,BlenderBottle,C03597,,,"2,617",4.8,https://www.amazon.com/BlenderBottle-C03597-Classic-Bottle-28-Ounce/dp/B07THMHX7X/,https://m.media-amazon.com/images/I/416n9ZmJ7XL.jpg,https://www.amazon.com
B0751FNCWC,AMAZON-US,"BlenderBottle Radian Shaker Cup Insulated Stainless Steel Water Bottle with Wire Whisk, 26-Ounce, Matte Black",USD,24.99,Amazon.com,BlenderBottle,BlenderBottle,C02090,,,"5,392",4.6,https://www.amazon.com/BlenderBottle-Insulated-Stainless-Bottle-26-Ounce/dp/B0751FNCWC/,https://m.media-amazon.com/images/I/61jtb0eLk0L.jpg,https://www.amazon.com
B0CJCNJ69T,AMAZON-US,"4 Packs Protein Shaker Bottle-24oz, Blender(BPA Free) Shaker Cups for Protein Shakes and Pre Workout with Classic Loop Top & Whisk Ball, Small Shaker Bottles for Protein Mixes Gym Smoothie Cup",USD,14.99,YAOCHES-US,YAOCHES,YAOCHES,,,,58,4.4,https://www.amazon.com/Protein-Bottle-24oz-Blender-Workout-Smoothie/dp/B0CJCNJ69T/,https://m.media-amazon.com/images/I/71EtRqXC3aL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2B5KLNWBEKSAJ&asin=B0CJCNJ69T&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B1375HLR,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, Light Pink",USD,10.99,Amazon.com,BlenderBottle,BlenderBottle,C05395,,,508,4.7,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B0B1375HLR/,https://m.media-amazon.com/images/I/61EP49uuCnL.jpg,https://www.amazon.com
B08VR54PF6,AMAZON-US,"BlenderBottle Shaker Bottle with Pill Organizer and Storage for Protein Powder, ProStak System, 22-Ounce, Rose Pink",USD,13.99,Amazon.com,BlenderBottle,Blender Bottle,C04773,,C04773,"5,999",4.8,https://www.amazon.com/BlenderBottle-Bottle-Organizer-Storage-22-Ounce/dp/B08VR54PF6/,https://m.media-amazon.com/images/I/71HOlt-xN9L.jpg,https://www.amazon.com
